Sample,X(ms) [23.05.2017 17:24:33 881 UTC],"I_encoder"[%ID1000],"M_beam_PID_manual_control"[%M4.3]
9664,11391.445160,2075,1
9665,11392.914880,2076,1
9666,11393.856560,2077,1
9667,11395.599180,2078,1
9668,11396.563960,2079,1
9669,11398.015220,2080,1
9670,11398.961920,2081,1
9671,11400.656540,2082,1
9672,11401.615160,2083,1
9673,11403.350900,2084,1
9674,11404.428680,2085,1
9675,11405.897900,2086,1
9676,11406.861500,2087,1
9677,11408.329760,2088,1
9678,11409.363680,2089,1
9679,11410.713020,2090,1
9680,11411.760300,2091,1
9681,11412.812520,2092,1
9682,11413.829880,2093,1
9683,11414.864620,2093,1
9684,11415.904360,2094,1
9685,11416.910200,2095,1
9686,11417.951040,2096,1
9687,11418.975760,2097,1
9688,11420.532040,2098,1
9689,11421.673060,2098,1
9690,11422.680200,2099,1
9691,11423.816380,2100,1
9692,11424.858500,2101,1
9693,11425.888400,2102,1
9694,11426.900060,2103,1
9695,11427.902060,2104,1
9696,11428.931980,2104,1
9697,11429.937080,2105,1
9698,11430.959640,2106,1
9699,11431.975920,2107,1
9700,11432.975740,2108,1
9701,11434.012660,2108,1
9702,11435.036520,2109,1
9703,11436.070140,2110,1
9704,11437.080780,2111,1
9705,11438.083700,2112,1
9706,11439.264780,2112,1
9707,11440.263940,2113,1
9708,11441.282000,2114,1
9709,11442.298260,2115,1
9710,11443.302940,2116,1
9711,11444.394940,2116,1
9712,11445.410660,2117,1
9713,11446.824280,2118,1
9714,11447.859080,2119,1
9715,11448.895660,2120,1
9716,11449.915400,2121,1
9717,11450.924120,2122,1
9718,11451.958760,2122,1
9719,11452.958180,2123,1
9720,11454.977080,2125,1
9721,11455.919140,2126,1
9722,11457.623140,2127,1
9723,11458.579420,2128,1
9724,11460.057040,2129,1
9725,11460.997180,2130,1
9726,11462.689900,2131,1
9727,11463.645540,2132,1
9728,11465.277860,2132,1
9729,11466.241220,2134,1
9730,11467.768700,2134,1
9731,11468.761020,2136,1
9732,11470.485400,2136,1
9733,11471.557320,2138,1
9734,11473.046500,2139,1
9735,11473.995860,2140,1
9736,11475.679620,2141,1
9737,11476.720020,2142,1
9738,11478.344600,2143,1
9739,11480.542620,2144,1
9740,11481.529900,2146,1
9741,11483.254440,2146,1
9742,11484.077720,2148,1
9743,11485.766280,2149,1
9744,11486.749720,2150,1
9745,11488.425280,2150,1
9746,11489.380580,2152,1
9747,11490.898280,2153,1
9748,11491.887440,2154,1
9749,11493.633280,2155,1
9750,11494.709240,2156,1
9751,11496.363500,2157,1
9752,11497.315780,2158,1
9753,11498.817960,2159,1
9754,11499.782940,2160,1
9755,11501.548320,2161,1
9756,11502.563840,2162,1
9757,11504.070500,2163,1
9758,11505.053820,2164,1
9759,11506.703240,2165,1
9760,11507.663160,2166,1
9761,11509.401360,2167,1
9762,11510.459180,2168,1
9763,11511.957640,2170,1
9764,11512.898300,2170,1
9765,11514.640280,2171,1
9766,11515.612760,2172,1
9767,11517.046260,2173,1
9768,11517.988980,2174,1
9769,11519.682620,2175,1
9770,11520.654260,2176,1
9771,11522.417280,2177,1
9772,11523.442660,2179,1
9773,11524.993280,2180,1
9774,11525.933860,2181,1
9775,11527.626260,2182,1
9776,11528.576180,2183,1
9777,11530.067860,2183,1
9778,11531.022140,2185,1
9779,11532.785460,2186,1
9780,11533.736500,2187,1
9781,11535.428600,2187,1
9782,11536.471480,2189,1
9783,11537.953720,2190,1
9784,11538.907200,2191,1
9785,11540.594100,2192,1
9786,11541.541620,2193,1
9787,11543.008740,2194,1
9788,11543.966940,2195,1
9789,11545.698220,2196,1
9790,11546.964540,2197,1
9791,11548.637320,2198,1
9792,11549.584760,2199,1
9793,11551.083920,2201,1
9794,11552.015420,2201,1
9795,11553.731380,2202,1
9796,11554.704820,2203,1
9797,11556.362000,2205,1
9798,11557.297700,2205,1
9799,11558.848680,2207,1
9800,11559.791640,2207,1
9801,11561.502440,2209,1
9802,11562.571160,2209,1
9803,11564.072720,2211,1
9804,11565.042360,2212,1
9805,11566.737840,2213,1
9806,11567.664860,2214,1
9807,11569.308720,2215,1
9808,11570.241740,2215,1
9809,11571.781320,2217,1
9810,11572.733840,2217,1
9811,11574.386420,2219,1
9812,11575.343920,2220,1
9813,11576.882620,2221,1
9814,11577.828200,2222,1
9815,11579.535800,2223,1
9816,11580.492140,2224,1
9817,11581.999620,2224,1
9818,11583.030320,2226,1
9819,11584.766500,2227,1
9820,11585.770980,2228,1
9821,11587.458720,2229,1
9822,11588.439240,2230,1
9823,11589.924940,2231,1
9824,11590.850980,2232,1
9825,11592.549840,2233,1
9826,11593.517300,2234,1
9827,11595.023840,2235,1
9828,11595.964320,2236,1
9829,11597.651840,2237,1
9830,11598.595260,2238,1
9831,11600.056260,2239,1
9832,11601.018440,2240,1
9833,11602.683420,2241,1
9834,11603.650540,2242,1
9835,11605.377780,2243,1
9836,11606.336480,2244,1
9837,11607.826060,2245,1
9838,11608.802380,2246,1
9839,11610.521460,2247,1
9840,11611.509640,2248,1
9841,11612.988860,2249,1
9842,11613.954840,2250,1
9843,11615.662360,2251,1
9844,11616.855660,2252,1
9845,11618.560280,2254,1
9846,11619.522960,2254,1
9847,11621.056660,2256,1
9848,11622.022180,2257,1
9849,11623.754000,2258,1
9850,11624.804080,2259,1
9851,11626.464320,2260,1
9852,11627.444760,2261,1
9853,11628.937240,2262,1
9854,11629.874380,2263,1
9855,11631.602360,2264,1
9856,11632.632280,2265,1
9857,11634.370840,2266,1
9858,11635.313280,2267,1
9859,11636.888880,2268,1
9860,11637.823300,2269,1
9861,11639.481900,2270,1
