timestamp [s],angle [rad],control [V]
12.98556392,56.4439480094966,12
12.9865369,56.4858359115445,12
12.9880187,56.5067798625684,12
12.98899166,56.5277238135923,12
12.99064226,56.5486677646163,12
12.99160148,56.5696117156402,12
12.99325936,56.5905556666641,12
12.994074,56.6114996176881,12
12.99575216,56.632443568712,12
12.99673148,56.6533875197359,12
12.99844086,56.6743314707599,12
12.9994143,56.6952754217838,12
13.0009051,56.7162193728077,12
13.00187208,56.7371633238317,12
13.0036037,56.7581072748556,12
13.0046722,56.7790512258795,12
13.00638398,56.7999951769035,12
13.00736102,56.8209391279274,12
13.00882666,56.8418830789513,12
13.0097958,56.8628270299753,12
13.0113329,56.8837709809992,12
13.0123786,56.9047149320231,12
13.01344662,56.925658883047,12
13.0145207,56.946602834071,12
13.01556792,56.9675467850949,12
13.01659394,56.9884907361188,12
13.01759848,57.0094346871428,12
13.01864862,57.0094346871428,12
13.0196724,57.0303786381667,12
13.02069252,57.0513225891906,12
13.02171082,57.0722665402146,12
13.02271602,57.0932104912385,12
13.02374414,57.0932104912385,12
13.02477442,57.1141544422625,12
13.02579716,57.1350983932864,12
13.02681204,57.1560423443103,12
13.02780902,57.1769862953342,12
13.02884572,57.1979302463582,12
13.02986056,57.1979302463582,12
13.03085364,57.2188741973821,12
13.03190102,57.239818148406,12
13.03332052,57.26076209943,12
13.0345261,57.2817060504539,12
13.03554874,57.3026500014778,12
13.03660088,57.3235939525018,12
13.03762076,57.3235939525018,12
13.0386536,57.3445379035257,12
13.03966064,57.3654818545496,12
13.04066834,57.3864258055736,12
13.0416977,57.4073697565975,12
13.04271262,57.4073697565975,12
13.04371478,57.4283137076214,12
13.04478994,57.4492576586454,12
13.04579392,57.4702016096693,12
13.04730822,57.4911455606932,12
13.04834116,57.5120895117171,12
13.04938524,57.5330334627411,12
13.05043136,57.553977413765,12
13.05148446,57.553977413765,12
13.05252824,57.574921364789,12
13.05353868,57.5958653158129,12
13.05459378,57.6168092668368,12
13.0556135,57.6377532178607,12
13.05664614,57.6586971688847,12
13.05767454,57.6586971688847,12
13.05867388,57.6796411199086,12
13.05970608,57.7005850709325,12
13.06072106,57.7215290219565,12
13.0617372,57.7424729729804,12
13.06275554,57.7634169240043,12
13.063778,57.7634169240043,12
13.06485116,57.7843608750283,12
13.0658545,57.8053048260522,12
13.06686846,57.8262487770761,12
13.06788316,57.8471927281001,12
13.06892212,57.8471927281001,12
13.06995688,57.868136679124,12
13.07096602,57.8890806301479,12
13.07197426,57.9100245811719,12
13.07301668,57.9309685321958,12
13.07402676,57.9519124832197,12
13.07508758,57.9519124832197,12
13.07623762,57.9728564342437,12
13.0772611,57.9938003852676,12
13.07826418,58.0147443362915,12
13.07926008,58.0356882873155,12
13.08029528,58.0356882873155,12
13.08130702,58.0566322383394,12
13.08233194,58.0775761893633,12
13.08335888,58.0985201403872,12
13.08439608,58.1194640914112,12
13.08545398,58.1194640914112,12
13.08648964,58.1404080424351,12
13.0875362,58.161351993459,12
13.08855904,58.182295944483,12
13.0895775,58.2032398955069,12
13.090616,58.2241838465308,12
13.09162828,58.2241838465308,12
13.09266118,58.2451277975548,12
13.09367902,58.2660717485787,12
13.09471164,58.2870156996026,12
13.09574286,58.3079596506266,12
13.09675506,58.3289036016505,12
13.09778568,58.3289036016505,12
13.09884006,58.3498475526744,12
13.0998442,58.3707915036984,12
13.10088752,58.3917354547223,12
13.10190768,58.4126794057462,12
13.10292012,58.4336233567702,12
13.10394224,58.4336233567702,12
13.10497978,58.4545673077941,12
13.10600468,58.475511258818,12
13.10702962,58.496455209842,12
13.10805926,58.5173991608659,12
13.10906662,58.5173991608659,12
13.11008002,58.5383431118898,12
13.11155314,58.5592870629137,12
13.11256076,58.5802310139377,12
13.11360188,58.6011749649616,12
13.11466352,58.6221189159855,12
13.11566082,58.6430628670095,12
13.11669694,58.6430628670095,12
13.11769264,58.6640068180334,12
