Sample,X(ms) [24.05.2017 18:30:12 365 UTC],"I_encoder"[%ID1000],"Q_motor_PWM"[%QW1000],"Q_motor_direction"[%Q4.0]
950,1176.079380,1631,0,0
951,1177.078460,1631,0,0
952,1178.806420,1631,0,0
953,1179.780880,1631,0,0
954,1181.481540,1631,0,0
955,1183.083400,1631,0,0
956,1184.296360,1631,0,0
957,1185.819100,1631,0,0
958,1186.892840,1631,0,0
959,1188.684040,1631,0,0
960,1189.684340,1631,0,0
961,1191.442440,1631,0,0
962,1192.508160,1631,0,0
963,1194.032300,1631,0,0
964,1195.045980,1631,0,0
965,1196.757440,1631,0,0
966,1197.802960,1631,0,0
967,1199.555580,1631,0,0
968,1200.560080,1631,0,0
969,1202.043200,1631,0,0
970,1203.035940,1631,0,0
971,1204.797580,1631,0,0
972,1205.794540,1631,0,0
973,1207.505880,1631,0,0
974,1208.512800,1631,0,0
975,1210.345200,1631,0,0
976,1211.925300,1631,0,0
977,1212.958420,1631,0,0
978,1214.617740,1631,0,0
979,1215.638440,1631,0,0
980,1217.407640,1631,0,0
981,1218.422580,1631,0,0
982,1219.958600,1631,0,0
983,1221.003040,1631,0,0
984,1222.761520,1631,0,0
985,1223.744020,1631,0,0
986,1225.485600,1631,0,0
987,1226.503620,1631,0,0
988,1227.994860,1631,0,0
989,1228.976980,1631,0,0
990,1230.742680,1631,0,0
991,1231.807920,1631,0,0
992,1233.535780,1631,0,0
993,1234.542340,1631,0,0
994,1236.087960,1631,0,0
995,1237.040500,1631,0,0
996,1238.800100,1631,0,0
997,1240.621720,1631,0,0
998,1241.651380,1631,0,0
999,1243.438320,1631,0,0
1000,1244.464000,1631,0,0
1001,1245.960560,1631,0,0
1002,1246.946020,1631,0,0
1003,1248.660220,1631,0,0
1004,1249.651500,1631,0,0
1005,1251.373420,1631,0,0
1006,1252.428280,1631,0,0
1007,1253.917720,1631,0,0
1008,1254.925600,1631,0,0
1009,1256.713480,1631,0,0
1010,1257.769480,1631,0,0
1011,1259.479600,1631,0,0
1012,1260.484620,1631,0,0
1013,1261.955900,1631,0,0
1014,1263.570640,1631,0,0
1015,1264.619480,1631,0,0
1016,1265.660780,1631,0,0
1017,1266.980320,1631,0,0
1018,1268.055820,1631,0,0
1019,1269.395940,1631,0,0
1020,1270.475380,1631,0,0
