Sample,X(ms) [18.06.2017 17:26:23 699 UTC],"M_beam_angle"[%MD24],"M_beam_angular_velocity"[%MD48],"M_beam_PWM_output"[%MW22]
342,2737.413920,0.172971397638321,0,-7
343,2746.674040,0.172971397638321,0,-7
344,2755.393180,0.172971397638321,0,-7
345,2764.582900,0.172971397638321,0,-7
346,2773.040760,0.172971397638321,0,-7
347,2781.610000,0.172971397638321,0,-7
348,2790.903940,0.172971397638321,0,-7
349,2799.496360,0.172971397638321,0,-7
350,2808.621200,0.172971397638321,0,-7
351,2817.325720,0.172971397638321,0,-7
352,2826.648080,0.172971397638321,0,-7
353,2835.069660,0.172971397638321,0,-7
354,2843.893440,0.172971397638321,0,-7
355,2852.974760,0.172971397638321,0,-7
356,2861.639920,0.172971397638321,0,-7
357,2868.946340,0.172971397638321,0,-7
358,2878.869480,0.172971397638321,0,-7
359,2887.542500,0.172971397638321,0,-7
360,2894.497820,0.172971397638321,0,-7
361,2901.653640,0.172971397638321,0,-7
362,2908.550280,0.172971397638321,0,-7
363,2915.467880,0.172971397638321,0,-7
364,2922.648920,0.172971397638321,0,-7
365,2929.545320,0.172971397638321,0,-7
366,2936.423900,0.172971397638321,0,-7
367,2943.749760,0.172971397638321,0,-7
368,2950.635200,0.172971397638321,0,-7
369,2957.573180,0.172971397638321,0,-7
370,2964.530020,0.172971397638321,0,-7
371,2971.678400,0.172971397638321,0,-32
372,2978.643940,0.174296349287033,0,-32
373,2985.553360,0.175519734621048,0,-32
374,2992.500960,0.17664110660553,0,-32
375,2999.379120,0.178575605154037,0,-32
376,3006.673460,0.180701017379761,0,-32
377,3013.588860,0.18188750743866,0,-32
378,3020.502460,0.182130455970764,0,-32
379,3027.729900,0.180985480546951,0.180602073669434,-35
380,3034.641180,0.179029494524002,0.180602073669434,-35
381,3041.641900,0.17497318983078,0.180602073669434,-35
382,3048.564480,0.169288486242294,0.180602073669434,-35
383,3055.484360,0.162015348672867,0.180602073669434,-35
384,3062.436360,0.15320497751236,0.180602073669434,-35
385,3071.064580,0.140125632286072,0.180602073669434,-35
386,3079.947460,0.121592633426189,-0.837517380714417,-19
387,3088.633240,0.103982754051685,-0.837517380714417,-19
388,3097.862460,0.0846092328429222,-0.837517380714417,-19
389,3106.550560,0.0636849924921989,-0.837517380714417,-19
390,3115.675320,0.0459829717874527,-0.837517380714417,-19
391,3124.671060,0.0228564739227295,-2.15798830986023,6
392,3133.760560,0.00371459499001503,-2.15798830986023,6
393,3142.468120,-0.00602381676435471,-2.15798830986023,6
394,3151.870600,-0.0207926444709301,-2.15798830986023,6
395,3158.827280,-0.0257499311119318,-2.15798830986023,6
396,3167.994080,-0.0357030443847179,-2.15798830986023,6
397,3176.931920,-0.0406943783164024,-1.45841193199158,1
398,3186.302960,-0.0456927381455898,-1.45841193199158,1
399,3194.829700,-0.0506958439946175,-1.45841193199158,1
400,3203.901240,-0.0506958439946175,-1.45841193199158,1
401,3212.602280,-0.0506958439946175,-1.45841193199158,1
402,3221.940920,-0.0506958439946175,-1.45841193199158,-14
403,3230.619680,-0.0506958439946175,-0.200029313564301,-14
404,3238.978700,-0.0506958439946175,-0.200029313564301,-14
405,3248.368220,-0.0557015240192413,-0.200029313564301,-14
406,3256.514460,-0.0557015240192413,-0.200029313564301,-14
407,3263.447560,-0.0607076063752174,-0.200029313564301,-14
408,3270.363360,-0.0607076063752174,-0.200029313564301,-14
409,3277.554220,-0.0657118260860443,-0.200235247612,-14
410,3284.477780,-0.0707120448350906,-0.200235247612,-14
411,3291.365160,-0.0757060050964355,-0.200235247612,-14
412,3298.274440,-0.0806915462017059,-0.200235247612,-14
413,3305.715500,-0.0856664851307869,-0.200235247612,-14
414,3312.664760,-0.09062859416008,-0.200235247612,-14
415,3319.568820,-0.0955757051706314,-0.200235247612,-14
416,3326.758660,-0.10050567984581,-0.697361946105957,-5
417,3333.637240,-0.105416297912598,-0.697361946105957,-5
418,3340.551180,-0.110305473208427,-0.697361946105957,-5
419,3347.882280,-0.110305473208427,-0.697361946105957,-5
420,3354.822220,-0.115170940756798,-0.697361946105957,-5
421,3361.712700,-0.12001059949398,-0.697361946105957,-5
422,3368.687980,-0.124822407960892,-0.697361946105957,-5
423,3375.891240,-0.124822407960892,-0.584934055805206,-4
424,3382.832100,-0.129604160785675,-0.584934055805206,-4
425,3389.696740,-0.129604160785675,-0.584934055805206,-4
426,3396.614300,-0.129604160785675,-0.584934055805206,-4
427,3403.884340,-0.129604160785675,-0.584934055805206,-4
428,3410.768200,-0.134353786706924,-0.584934055805206,-4
429,3417.713600,-0.134353786706924,-0.584934055805206,-4
430,3424.931880,-0.134353786706924,-0.190627574920654,-9
431,3431.868600,-0.134353786706924,-0.190627574920654,-9
432,3438.983080,-0.134353786706924,-0.190627574920654,-9
433,3446.225460,-0.134353786706924,-0.190627574920654,-9
434,3453.018520,-0.139069199562073,-0.190627574920654,-9
435,3461.766600,-0.139069199562073,-0.190627574920654,-9
436,3470.408400,-0.139069199562073,-0.190627574920654,-9
437,3479.957340,-0.14374828338623,-0.0943082571029663,-10
438,3488.573180,-0.14374828338623,-0.0943082571029663,-10
439,3497.742340,-0.148389041423798,-0.0943082571029663,-10
440,3506.403720,-0.148389041423798,-0.0943082571029663,-10
441,3515.742640,-0.152989387512207,-0.0943082571029663,-10
442,3524.676400,-0.152989387512207,-0.278403759002686,-6
443,3533.917140,-0.15754733979702,-0.278403759002686,-6
444,3542.549740,-0.162060856819153,-0.278403759002686,-6
445,3550.972180,-0.162060856819153,-0.278403759002686,-6
446,3560.283620,-0.166527956724167,-0.278403759002686,-6
447,3568.813780,-0.166527956724167,-0.278403759002686,-6
448,3578.395740,-0.170946672558784,-0.270771384239197,-6
449,3586.847500,-0.170946672558784,-0.270771384239197,-6
450,3596.041940,-0.170946672558784,-0.270771384239197,-6
451,3604.865500,-0.175315096974373,-0.270771384239197,-6
452,3613.417880,-0.175315096974373,-0.270771384239197,-6
453,3622.931560,-0.175315096974373,-0.17574280500412,-6
454,3631.477300,-0.175315096974373,-0.17574280500412,-6
455,3640.687020,-0.179631263017654,-0.17574280500412,-6
456,3648.045460,-0.179631263017654,-0.17574280500412,-6
457,3654.989080,-0.179631263017654,-0.17574280500412,-6
458,3661.865780,-0.179631263017654,-0.17574280500412,-6
459,3668.860640,-0.179631263017654,-0.17574280500412,-6
460,3676.287640,-0.179631263017654,-0.0863233208656311,-7
461,3683.001060,-0.179631263017654,-0.0863233208656311,-7
462,3689.902120,-0.183893322944641,-0.0863233208656311,-7
463,3696.854060,-0.183893322944641,-0.0863233208656311,-7
464,3704.232000,-0.183893322944641,-0.0863233208656311,-7
465,3710.965380,-0.183893322944641,-0.0863233208656311,-7
466,3717.921960,-0.183893322944641,-0.0863233208656311,-7
467,3725.325100,-0.183893322944641,-0.0852411985397339,-7
468,3732.032780,-0.183893322944641,-0.0852411985397339,-7
469,3738.903780,-0.188099324703217,-0.0852411985397339,-7
