time,distance_left,distance_right
8.2195655,789,539
8.22072004,789,539
8.22190318,789,539
8.22305606,786,610
8.2243948,786,610
8.22557636,786,610
8.22675472,786,610
8.22790928,786,610
8.2295643,786,610
8.23073424,786,610
8.2319159,786,610
8.2338293,768,595
8.2356932,768,595
8.23678846,768,595
8.23866914,768,595
8.24053984,768,595
8.24167146,768,595
8.2435372,657,485
8.24466546,657,485
8.24645506,657,485
8.24814562,657,485
8.24945278,657,485
8.2511254,657,485
8.25240316,657,485
8.25408566,516,430
8.25596692,516,430
8.25708394,516,430
8.25893342,516,430
8.2600355,516,430
8.26189376,516,430
8.26297268,497,454
8.26476668,497,454
8.26664702,497,454
8.26774496,497,454
8.26960728,497,454
8.27071874,497,454
8.27253806,497,454
8.27449878,555,482
8.27571204,555,482
8.27750114,555,482
8.27912686,555,482
8.28045806,555,482
8.28166778,555,482
8.28282106,636,514
8.2839966,636,514
8.28515748,636,514
8.28647706,636,514
8.28766048,636,514
8.28884952,636,514
8.29003098,636,514
8.29117312,636,514
8.2925229,636,514
8.29368488,693,530
8.29485864,693,530
8.29601826,693,530
8.29718348,693,530
8.2985361,693,530
8.29972266,693,530
8.30087228,693,530
8.30255188,693,530
8.30372314,738,538
8.30488604,738,538
8.30603012,738,538
8.30734992,738,538
8.30855256,738,538
8.30974634,738,538
8.31092758,738,538
8.312063,738,538
8.31337752,761,542
8.31455536,761,542
8.31574154,761,542
8.31689018,761,542
8.31805584,761,542
8.31939376,761,542
8.32060108,761,542
8.32175156,761,542
8.32292142,773,510
8.32407408,773,510
8.32540418,773,510
8.32717316,773,510
8.32907238,773,510
8.33015378,773,510
8.33201132,773,510
8.33380534,864,408
8.33492948,864,408
8.33678142,864,408
8.33787852,864,408
8.33971754,864,408
8.34163974,864,408
8.3428114,1080,358
8.34461318,1080,358
8.3463814,1080,358
8.3475416,1080,358
8.34944056,1080,358
8.35058476,1080,358
8.35234334,1080,358
8.354103,1256,383
8.35549042,1256,383
8.35711764,1256,383
8.35840298,1256,383
8.36007178,1256,383
8.3611891,1256,383
8.36308864,1259,430
8.36499376,1259,430
8.36610544,1259,430
8.36791988,1259,430
8.36903958,1259,430
8.37082334,1259,430
8.3726789,1259,430
8.37387334,1176,488
8.37572018,1176,488
8.37680328,1176,488
8.3786875,1176,488
8.38060784,1176,488
8.38180298,1176,488
8.38367382,1065,517
8.38552392,1065,517
8.38666062,1065,517
8.3885273,1065,517
8.38966224,1065,517
8.39143584,1065,517
8.39313836,1065,517
