Sample,X(ms) [16.06.2017 16:26:20 534 UTC],"Q_motor_PWM"[%QW1000],"Q_motor_direction"[%Q4.0],"M_crank_angle"[%MD72],"M_crank_angular_velocity"[%MD80]
4422,6032.383560,50,0,50.139820098877,24.7138214111328
4423,6033.556380,50,0,50.1607627868652,24.7138214111328
4424,6035.211200,50,0,50.2026519775391,24.7138214111328
4425,6036.382380,50,0,50.2445373535156,24.7138214111328
4426,6037.565380,50,0,50.2864265441895,24.7138214111328
4427,6038.913840,50,0,50.307373046875,24.7138214111328
4428,6040.124280,50,0,50.3492584228516,24.7138214111328
4429,6041.313940,50,0,50.3911514282227,24.7138214111328
4430,6042.600780,50,0,50.4120941162109,24.7139739990234
4431,6043.917440,50,0,50.4539794921875,24.7139739990234
4432,6045.116540,50,0,50.4958686828613,24.7139739990234
4433,6046.295320,50,0,50.5377540588379,24.7139739990234
4434,6047.476900,50,0,50.5587005615234,24.7139739990234
4435,6048.677540,50,0,50.6005859375,24.7139739990234
4436,6050.026940,50,0,50.6424789428711,24.7139739990234
4437,6051.210700,50,0,50.6634216308594,24.7139739990234
4438,6052.400600,50,0,50.7053031921387,24.7139739990234
4439,6053.573580,50,0,50.7471961975098,24.7139739990234
4440,6054.917960,50,0,50.768138885498,24.7139739990234
4441,6056.101200,50,0,50.8100280761719,24.7139739990234
4442,6057.324980,50,0,50.8519134521484,24.7139739990234
4443,6058.520040,50,0,50.8728561401367,24.7139739990234
4444,6059.688820,50,0,50.9147453308105,24.7139739990234
4445,6061.034520,50,0,50.9566307067871,24.7139739990234
4446,6062.230820,50,0,50.9775810241699,24.7139739990234
4447,6063.425700,50,0,51.0194664001465,24.7139739990234
4448,6064.597660,50,0,51.0404090881348,24.7139739990234
4449,6065.941100,50,0,51.0822982788086,24.7139739990234
4450,6067.110760,50,0,51.1032409667969,24.7139739990234
4451,6068.352560,50,0,51.1451301574707,24.7139739990234
4452,6069.514380,50,0,51.1870155334473,24.7139739990234
4453,6070.874900,50,0,51.2079582214355,24.7139739990234
4454,6072.057020,50,0,51.2289085388184,24.7139739990234
4455,6073.266480,50,0,51.2707939147949,24.7139739990234
4456,6074.438320,50,0,51.2917366027832,24.7139739990234
4457,6075.630860,50,0,51.333625793457,24.7139739990234
4458,6076.958380,50,0,51.3545684814453,24.7139739990234
4459,6078.181280,50,0,51.3755111694336,24.7139739990234
4460,6079.353000,50,0,51.4174003601074,24.7139739990234
4461,6080.546240,50,0,51.4383430480957,24.7139739990234
4462,6081.705400,50,0,51.4802360534668,24.7139739990234
4463,6083.041120,50,0,51.5011787414551,24.7139739990234
4464,6084.246580,50,0,51.5221214294434,24.7139739990234
4465,6085.414320,50,0,51.5640106201172,24.7139739990234
4466,6086.603240,50,0,51.5849533081055,24.7139739990234
4467,6087.928020,50,0,51.6058959960938,24.7139739990234
4468,6089.135560,50,0,51.6477851867676,24.7139739990234
4469,6090.315940,50,0,51.6687278747559,24.7139739990234
4470,6091.508380,50,0,51.7106132507324,24.7139739990234
4471,6093.099200,50,0,51.7315635681152,26.3892364501953
4472,6094.322360,50,0,51.7734451293945,26.3892364501953
4473,6095.493440,50,0,51.7943878173828,26.3892364501953
4474,6096.679540,50,0,51.8362808227539,26.3892364501953
4475,6098.038540,50,0,51.8572235107422,26.3892364501953
4476,6099.261020,50,0,51.899112701416,26.3892364501953
4477,6100.425200,50,0,51.9200553894043,26.3892364501953
4478,6101.623500,50,0,51.9619483947754,26.3892364501953
4479,6102.944140,50,0,51.9828910827637,26.3892364501953
4480,6104.149460,50,0,52.024772644043,26.3892364501953
4481,6105.383120,50,0,52.0457229614258,26.3892364501953
4482,6106.567880,50,0,52.0876083374023,26.3892364501953
4483,6107.910520,50,0,52.1085510253906,26.3892364501953
4484,6109.121040,50,0,52.1504402160645,26.3892364501953
4485,6110.301740,50,0,52.1713829040527,26.3892364501953
4486,6111.482560,50,0,52.2132720947266,26.3892364501953
4487,6112.642040,50,0,52.2342147827148,26.3892364501953
4488,6113.992060,50,0,52.2761001586914,26.3892364501953
4489,6115.169780,50,0,52.2970504760742,26.3892364501953
4490,6116.338520,50,0,52.3389358520508,26.3892364501953
4491,6117.529880,50,0,52.3598785400391,26.3892364501953
4492,6118.882040,50,0,52.4017677307129,26.3892364501953
4493,6120.094220,50,0,52.4227104187012,26.3892364501953
4494,6121.290920,50,0,52.464599609375,26.3892364501953
4495,6122.477860,50,0,52.4855422973633,26.3892364501953
4496,6123.647680,50,0,52.5274276733398,26.3892364501953
4497,6124.995520,50,0,52.5693206787109,26.3892364501953
4498,6126.176500,50,0,52.5902633666992,26.3892364501953
4499,6127.356600,50,0,52.632152557373,26.3892364501953
4500,6128.675120,50,0,52.6740379333496,26.3892364501953
4501,6130.051420,50,0,52.6949806213379,26.3892364501953
4502,6131.248460,50,0,52.7368698120117,26.3892364501953
4503,6132.434920,50,0,52.7578125,26.3892364501953
4504,6133.598480,50,0,52.7997055053711,26.3892364501953
4505,6135.263420,50,0,52.8415870666504,26.3892364501953
4506,6136.442820,50,0,52.8834800720215,26.3892364501953
4507,6137.646840,50,0,52.9044227600098,26.3892364501953
4508,6139.011040,50,0,52.9463081359863,26.3892364501953
4509,6140.226280,50,0,52.9881973266602,26.3892364501953
4510,6141.389480,50,0,53.0091400146484,26.3892364501953
4511,6142.684820,50,0,53.0510330200195,25.9705352783203
4512,6144.573580,50,0,53.1138572692871,25.9705352783203
4513,6146.354620,50,0,53.1766929626465,25.9705352783203
4514,6148.178420,50,0,53.1976356506348,25.9705352783203
4515,6149.319880,50,0,53.2604675292969,25.9705352783203
4516,6151.165100,50,0,53.3023567199707,25.9705352783203
4517,6152.287180,0,0,53.3442420959473,25.9705352783203
4518,6154.094780,0,0,53.4070777893066,25.9705352783203
4519,6156.002040,0,0,53.4489669799805,25.9705352783203
4520,6157.121720,0,0,53.490852355957,25.9705352783203
4521,6158.941520,0,0,53.5327415466309,25.9705352783203
4522,6160.052800,0,0,53.5746269226074,25.9705352783203
4523,6161.946520,0,0,53.6374626159668,25.9705352783203
4524,6163.649180,0,0,53.6584053039551,25.9705352783203
4525,6164.903700,0,0,53.7212371826172,25.9705352783203
4526,6167.148140,0,0,53.7631225585938,25.9705352783203
4527,6169.085040,0,0,53.8050117492676,25.9705352783203
4528,6170.218480,0,0,53.8468971252441,25.9705352783203
4529,6172.006580,0,0,53.867847442627,25.9705352783203
4530,6173.115900,0,0,53.9097328186035,25.9705352783203
4531,6175.102000,0,0,53.9516220092773,25.9705352783203
4532,6176.956000,0,0,53.9725646972656,25.9705352783203
4533,6178.116140,0,0,54.0144500732422,25.9705352783203
4534,6179.895840,0,0,54.056339263916,25.9705352783203
4535,6181.009280,0,0,54.0772819519043,25.9705352783203
4536,6182.983560,0,0,54.1191749572754,25.9705352783203
4537,6184.637020,0,0,54.1401138305664,25.9705352783203
4538,6185.888800,0,0,54.1610565185547,25.9705352783203
4539,6187.552580,0,0,54.181999206543,25.9705352783203
4540,6188.702040,0,0,54.2029495239258,25.9705352783203
4541,6190.624420,0,0,54.2448348999023,25.9705352783203
4542,6192.910420,0,0,54.2448348999023,24.7138977050781
4543,6194.636940,0,0,54.2867240905762,24.7138977050781
4544,6195.928800,0,0,54.3076667785645,24.7138977050781
4545,6197.560920,0,0,54.3286094665527,24.7138977050781
4546,6198.692000,0,0,54.349552154541,24.7138977050781
4547,6200.529680,0,0,54.3704986572266,24.7138977050781
4548,6201.633140,0,0,54.3914413452148,24.7138977050781
4549,6203.546960,0,0,54.4123840332031,24.7138977050781
4550,6205.427920,0,0,54.4123840332031,24.7138977050781
4551,6206.523560,0,0,54.4333267211914,24.7138977050781
4552,6208.418820,0,0,54.4542770385742,24.7138977050781
4553,6209.531040,0,0,54.4752197265625,24.7138977050781
4554,6211.406200,0,0,54.4961624145508,24.7138977050781
4555,6213.363640,0,0,54.4961624145508,24.7138977050781
4556,6214.478660,0,0,54.5171051025391,24.7138977050781
4557,6216.347460,0,0,54.5380516052246,24.7138977050781
4558,6218.112080,0,0,54.5380516052246,24.7138977050781
